id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1511492141725327364,1511492141725327364,2022-04-05 23:53:03 UTC,2022-04-05,23:53:03,+0000,71436318,kompastv,KOMPAS TV,,Polisi Buru Pelaku Klitih yang Tewaskan Anak Anggota DPRD Kebumen  https://t.co/9pmA2qjgGP  https://t.co/4X4Lrg9kkp,in,[],['http://dlvr.it/SN2bcg'],['https://pbs.twimg.com/media/FPnmF9cVgAcJHhY.jpg'],2,0,2,[],[],https://twitter.com/KompasTV/status/1511492141725327364,False,,1,https://pbs.twimg.com/media/FPnmF9cVgAcJHhY.jpg,,,,,,,[],,,,
1511492074884853760,1511395491686191105,2022-04-05 23:52:47 UTC,2022-04-05,23:52:47,+0000,1495350961329811458,nigaturu,izhar halqifibrax,,@Rosemi_Lovelock Rosemi sama tolong ajarin nentuin hilal,in,[],[],[],0,0,0,[],[],https://twitter.com/nigaturu/status/1511492074884853760,False,,0,,,,,,,,"[{'screen_name': 'Rosemi_Lovelock', 'name': 'Rosemi Lovelock🌹NIJISANJI EN', 'id': '1413326894435602434'}]",,,,
1511492028223287299,1511492028223287299,2022-04-05 23:52:36 UTC,2022-04-05,23:52:36,+0000,1347115299494002688,birdflappie1230,na,,"Tersangka klitih lewat tl terus dari kmrn, aku lemes banget lihat fotonya",in,[],[],[],0,0,0,[],[],https://twitter.com/BirdFlappie1230/status/1511492028223287299,False,,0,,,,,,,,[],,,,
1511491942219063300,1511491942219063300,2022-04-05 23:52:15 UTC,2022-04-05,23:52:15,+0000,347057124,demast1,Dewi Ismimasitoh 🇮🇩🇮🇩,,Seremmm. Keliling golek getih (klitih),in,[],[],[],0,0,1,[],[],https://twitter.com/Demast1/status/1511491942219063300,False,https://twitter.com/merapi_uncover/status/1511431329413443589,0,,,,,,,,[],,,,
1511491878788960260,1511314124349009925,2022-04-05 23:52:00 UTC,2022-04-05,23:52:00,+0000,58369377,adinewa,adinewa,,@righiPramudya @rizkyoktv @ripeyee ternyata klitih daerah undip,in,[],[],[],0,0,0,[],[],https://twitter.com/adinewa/status/1511491878788960260,False,,0,,,,,,,,"[{'screen_name': 'righiPramudya', 'name': 'Arighi Pramudyatama', 'id': '603578770'}, {'screen_name': 'rizkyoktv', 'name': 'Rizky Oktavian', 'id': '184379635'}, {'screen_name': 'ripeyee', 'name': 'Percival', 'id': '1012488049'}]",,,,
1511491796114632704,1511431329413443589,2022-04-05 23:51:41 UTC,2022-04-05,23:51:41,+0000,347057124,demast1,Dewi Ismimasitoh 🇮🇩🇮🇩,,@merapi_uncover @omgasat Keliling golek getih (klitih) serem,in,[],[],[],0,0,0,[],[],https://twitter.com/Demast1/status/1511491796114632704,False,,0,,,,,,,,"[{'screen_name': 'merapi_uncover', 'name': 'IG: Merapi_Uncover', 'id': '1279804428724211712'}, {'screen_name': 'omgasat', 'name': 'PAK ATAN', 'id': '391722063'}]",,,,
1511491741463248898,1511491741463248898,2022-04-05 23:51:27 UTC,2022-04-05,23:51:27,+0000,1474395662330388482,jepchn,jjeva,,"demi allah gue benci bgt sm klitih, anjgggg lo, semoga lo mati nya kesamber petir",in,[],[],[],0,0,0,[],[],https://twitter.com/jepchn/status/1511491741463248898,False,https://twitter.com/AREAJULID/status/1511389609397465089,0,,,,,,,,[],,,,
1511491728468963330,1511491728468963330,2022-04-05 23:51:24 UTC,2022-04-05,23:51:24,+0000,380291589,cek_kokosebelah,E.K.,,"Halo polda DIY, nunggu anak pejabat jadi korban dulu baru gerak kah? Jangan sampai warga main koboi sendiri, ini klitih masalahnya kalo cuma penjara malah jadi semacam trophy buat mereka, makin bangga",in,[],[],[],0,0,0,[],[],https://twitter.com/Cek_KokoSebelah/status/1511491728468963330,False,https://twitter.com/merapi_uncover/status/1511431329413443589,0,,,,,,,,[],,,,
1511491608013082624,1511155988228816898,2022-04-05 23:50:56 UTC,2022-04-05,23:50:56,+0000,981593424,retnobundamey,Rere Jalan Kaki 🥳 🚶‍♀️,,"@collegemenfess Parah banget. Aku usahakan sudah dirumah dibawah jam 12 Malam. Pernah Ada berita juga klitih Yang lempar Batu ke mobil2, giliran ditabrak Sama Tu Mobil, eh sopirnya Di penjara.",in,[],[],[],0,0,0,[],[],https://twitter.com/retnobundamey/status/1511491608013082624,False,,0,,,,,,,,"[{'screen_name': 'collegemenfess', 'name': 'COLLE', 'id': '1046084008742801408'}]",,,,
1511491579718291456,1511491579718291456,2022-04-05 23:50:49 UTC,2022-04-05,23:50:49,+0000,1185922324521865219,suvperior,yon 🦊,,Puji Tuhan gua gajadi ke jogja entar. untung juga gua udah balik ga di daerah ambarawa lagi (bisa aja klitih melipir ke situ),in,[],[],[],1,0,0,[],[],https://twitter.com/suvperior/status/1511491579718291456,False,https://twitter.com/AREAJULID/status/1511389609397465089,0,,,,,,,,[],,,,
1511491572541493250,1511490824932306946,2022-04-05 23:50:47 UTC,2022-04-05,23:50:47,+0000,103765552,romofarano,Romo Farano,,@AldilaSandra Perkoro klitih?   Santet wae,in,[],[],[],1,0,0,[],[],https://twitter.com/RomoFarano/status/1511491572541493250,False,,0,,,,,,,,"[{'screen_name': 'AldilaSandra', 'name': '•YuMar,bakul sambel•', 'id': '599205223'}]",,,,
1511491565838950403,1511252906263347201,2022-04-05 23:50:46 UTC,2022-04-05,23:50:46,+0000,1078545828,john_dana20,John Dana,,@lincaktravail Keluar malem dikit di sabet klitih 🤣,in,[],[],[],0,0,1,[],[],https://twitter.com/john_dana20/status/1511491565838950403,False,,0,,,,,,,,"[{'screen_name': 'lincaktravail', 'name': 'Lincak', 'id': '189448262'}]",,,,
1511491526546886671,1511155988228816898,2022-04-05 23:50:36 UTC,2022-04-05,23:50:36,+0000,1244766345650032640,lyraesteunoia,🎀,,"@collegemenfess Bismillahirrahmanirrahim, dengan nama Allah, semoga klitih idupnya pas tidur matanya melek terus amin ya Allah",in,[],[],[],0,0,0,[],[],https://twitter.com/lyraesteunoia/status/1511491526546886671,False,,0,,,,,,,,"[{'screen_name': 'collegemenfess', 'name': 'COLLE', 'id': '1046084008742801408'}]",,,,
1511491519647141888,1511491519647141888,2022-04-05 23:50:35 UTC,2022-04-05,23:50:35,+0000,1303166162641940481,mhmn_,Man,,"Kita doakan korban aksi ""klitih"" di Yogja semoga ditempatkan di sisi terbaik Allah SWT. Dan keluarga korban diberi ketabahan🙏  Saya turut prihatin terhadap maraknya aksi ""klitih"" di Yogja dan semarang. Semoga terduga pelaku mendapat hukuman yg setimpal🙏",in,[],[],[],0,0,1,[],[],https://twitter.com/mhmn_/status/1511491519647141888,False,,0,,,,,,,,[],,,,
1511491385568133120,1510847323697737731,2022-04-05 23:50:03 UTC,2022-04-05,23:50:03,+0000,1425822131544236045,valrose97,Valrose,,@yhrcs @milonesiaa @ariamansluggish @Tuan_Kelanaa @Kdramaescapp @AREAJULID Beda ya anjir. Begal mah ambil barang berharga. Klitih mah murni nyerang,in,[],[],[],0,0,0,[],[],https://twitter.com/valrose97/status/1511491385568133120,False,,0,,,,,,,,"[{'screen_name': 'yhrcs', 'name': 'wannaquit', 'id': '1096585424204574720'}, {'screen_name': 'milonesiaa', 'name': 'sianghari', 'id': '1283375373036609537'}, {'screen_name': 'ariamansluggish', 'name': 'ariamansluggish', 'id': '1242826192278794240'}, {'screen_name': 'Tuan_Kelanaa', 'name': 'Berang-berang \uea00', 'id': '1351272074879242240'}, {'screen_name': 'Kdramaescapp', 'name': 'Sis Drama', 'id': '950263718360711168'}, {'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
